"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600473401250626,2025-10-10 20:59:43.000,NEAR_USDT,LIMIT,SELL,34.0,2.7900,34.0,94.8600,2.7900,FILLED
5755600473401072979,2025-10-10 20:59:43.000,NEAR_USDT,LIMIT,SELL,34.0,2.7900,34.0,94.8600,2.7900,FILLED
5755600473404479126,2025-10-10 15:34:49.000,ALGO_USDT,LIMIT,SELL,458,0.21000,458,96.18000,0.21000,FILLED
5755600473397714190,2025-10-10 15:34:49.000,ALGO_USDT,LIMIT,SELL,458,0.21000,458,96.18000,0.21000,FILLED
5755600473396870615,2025-10-10 15:34:49.000,ALGO_USDT,LIMIT,SELL,45,0.21000,45,9.45000,0.21000,FILLED
5755600473401237433,2025-10-10 15:25:24.000,ADA_USDT,LIMIT,SELL,119.4,0.79000,119.4,94.32600,0.79000,FILLED
5755600473657793457,2025-10-10 15:20:08.000,ETH_USD,LIMIT,SELL,4.4808,4226.00,4.4808,18935.86,4226.00,FILLED
5755600473371184582,2025-10-09 16:59:25.000,ADA_USD,LIMIT,SELL,13216.0,0.79570,13216.0,10515.97120,0.79570,FILLED
5755600473693040326,2025-10-09 13:33:15.001,APT_USD,LIMIT,SELL,1904.00,4.9000,1904.00,9329.6000,4.9000,FILLED
5755600473423327654,2025-10-09 02:36:53.000,APT_USDT,LIMIT,SELL,18.91,5.0200,18.91,94.9282,5.0200,FILLED
5755600473693116484,2025-10-08 12:53:25.904,APT_USD,LIMIT,SELL,1904.00,0,0.00,0.0000,0.0000,CANCELED
5755600473692672160,2025-10-08 12:47:17.003,APT_USD,LIMIT,BUY,1934.23,5.1700,1934.23,9999.9685,0.0000,FILLED
5755600473657688698,2025-10-08 05:15:28.881,ETH_USD,LIMIT,SELL,2.2404,0,0.0000,0.00,0.00,CANCELED
5755600473657658472,2025-10-08 05:15:08.363,ETH_USD,LIMIT,SELL,2.2404,0,0.0000,0.00,0.00,CANCELED
5755600473657099380,2025-10-08 05:07:01.388,ETH_USD,LIMIT,BUY,4.4953,4449.00,4.4953,19999.59,0.00,FILLED
5755600473631151908,2025-10-08 00:03:59.470,BTC_USDT,TAKE_PROFIT_LIMIT,SELL,0.00082,0,0.00000,0.00,133691.79,CANCELED
5755600473631151094,2025-10-08 00:03:58.873,BTC_USDT,MARKET,BUY,0.00082,121548.00,0.00082,99.67,0.00,CANCELED
5755600473395870325,2025-10-07 23:57:11.001,SOL_USDT,LIMIT,SELL,0.041,220.32,0.041,9.03,220.32,FILLED
5755600473423322525,2025-10-06 10:05:48.310,APT_USDT,MARKET,BUY,18.91,5.2860,18.91,99.9589,0.0000,CANCELED
5755600473404477772,2025-10-06 06:06:03.469,ALGO_USDT,MARKET,BUY,458,0.21790,458,99.79753,0.00000,CANCELED
5755600473401250381,2025-10-06 05:15:31.702,NEAR_USDT,TAKE_PROFIT_LIMIT,SELL,34.0,0,0.0,0.0000,3.2300,CANCELED
5755600473401243708,2025-10-06 05:15:25.984,NEAR_USDT,MARKET,BUY,34.0,2.9374,34.0,99.8703,0.0000,CANCELED
